customer_id,customer_name,email,registration_date,customer_type
CUST0039,Evan Obrien,jrodgers@example.net,2025-04-23,REGULAR
CUST0040,Douglas Duncan,anita77@example.com,2024-01-04,REGULAR
CUST0041,Karen Hall,alicia99@example.org,2024-04-24,VIP
CUST0042,Natalie Foster,ywilson@example.org,2025-05-25,VIP
CUST0043,Jade Nelson,amandarobinson@example.org,2025-11-11,VIP
CUST0044,Adam Keller,audreyallen@example.net,2024-11-10,REGULAR
CUST0045,Andre Boyle,vhaney@example.net,2025-11-09,VIP
CUST0046,Jill Reid,alison34@example.com,2025-12-28,VIP
CUST0047,Mario Haynes,hlewis@example.com,2025-06-13,PREMIUM
CUST0048,Robert Harvey,drichardson@example.org,2025-10-23,VIP
CUST0049,Cassidy Marshall,kmccormick@example.net,2024-07-17,PREMIUM
CUST0050,Curtis Roth,sblevins@example.net,2025-06-19,VIP
CUST0051,Frank James,andrew86@example.org,2024-11-18,REGULAR
CUST0052,Pamela Murray,garciaashley@example.org,2026-06-05,REGULAR
CUST0053,Jacob Garcia,alvaradogeoffrey@example.com,2025-11-14,REGULAR
CUST0054,Margaret Pierce,rodney91@example.com,2024-09-07,PREMIUM
CUST0055,Billy Stein,steven11@example.net,2024-05-02,REGULAR
CUST0056,Kelli Clark,ronald01@example.com,2026-05-09,REGULAR
CUST0057,Joshua Elliott,guzmanlogan@example.org,2025-10-04,REGULAR
CUST0058,Jonathan Harrington,tyoung@example.net,2024-12-07,PREMIUM
CUST0059,Andrew Todd,glopez@example.com,2025-10-21,VIP
CUST0060,Joshua Morris,patriciamurphy@example.net,2023-11-16,REGULAR
CUST0061,Anna Hogan,whitney13@example.com,2026-01-30,VIP
CUST0062,Travis Jones,daisyholloway@example.net,2024-09-01,VIP
CUST0063,Jason Graves,jonathan78@example.com,2024-08-09,PREMIUM
CUST0064,Manuel Daniels,edrake@example.com,2024-02-06,REGULAR
CUST0065,Evan Coffey,haasmary@example.org,2025-07-02,REGULAR
CUST0066,Jacob Villarreal,brandiheath@example.net,2023-10-16,REGULAR
CUST0067,Daniel White,oewing@example.net,2025-08-17,PREMIUM
CUST0068,Courtney Dixon,qwoods@example.net,2025-06-16,VIP
CUST0069,Juan Jones,jonesmichelle@example.org,2026-05-19,PREMIUM
CUST0070,Patrick Martin,drobinson@example.com,2025-12-03,VIP
CUST0071,Kenneth Simpson,sarah00@example.net,2024-06-17,VIP
CUST0072,Kelly Joseph,rodriguezlisa@example.com,2023-12-09,PREMIUM
CUST0073,Jeremiah Lewis,melindajones@example.com,2025-05-28,VIP
CUST0074,Daniel Austin,christopher94@example.net,2025-11-21,VIP
CUST0075,Anthony Parker,hfreeman@example.com,2024-08-03,REGULAR
CUST0076,Angela Little,wesley16@example.net,2024-03-29,PREMIUM
CUST0077,Lauren Barrett,johnstonshelly@example.org,2024-06-24,VIP
CUST0078,Christine Patton,nathanallen@example.org,2024-08-09,PREMIUM
CUST0079,Christina Davis,jamesevans@example.com,2025-05-27,REGULAR
CUST0080,Johnathan Green,lawsonsteven@example.com,2024-06-14,VIP
CUST0081,Derrick Middleton,alyssa74@example.org,2025-09-14,PREMIUM
CUST0082,Sara Williams,xjames@example.org,2024-03-21,VIP
CUST0083,Mark Snyder,phelpsvictoria@example.net,2026-05-03,VIP
CUST0084,Daniel Barton,thompsonjerry@example.net,2025-09-13,REGULAR
CUST0085,Elizabeth Payne,susan32example.net,2023-11-28,VIP
CUST0086,Brandon Brown,karenmartinez@example.com,2023-08-28,PREMIUM
CUST0087,Megan Holt,lisahayes@example.com,2026-06-13,VIP
CUST0088,Abigail Ortega,adrianray@example.org,2024-05-07,PREMIUM
CUST0089,Brittany Dunlap,william58@example.net,2025-10-21,PREMIUM
CUST0090,Gregory Morrison,mmurphy@example.org,2026-04-02,REGULAR
CUST0091,Brian Farmer,markcarroll@example.org,2023-12-15,PREMIUM
CUST0092,Jennifer Williams,armstrongsuzanne@example.net,2024-11-20,PREMIUM
CUST0093,Tina Rowe,adrienne83@example.org,2025-04-30,REGULAR
CUST0094,Aaron Graham,brandiriggs@example.org,2024-02-13,REGULAR
CUST0095,Michelle Lee,scottdiaz@example.com,2025-07-15,REGULAR
CUST0096,Michael Burgess,lperkins@example.org,2024-02-16,REGULAR
CUST0097,Colleen Blevins,kelly41@example.com,2025-02-17,REGULAR
CUST0098,Nancy Wilkinson,bwilliams@example.com,2026-05-28,REGULAR
CUST0099,Jacqueline Erickson,frogers@example.net,2025-04-19,PREMIUM
CUST0100,Julie Shaw,floydryan@example.com,2023-10-30,PREMIUM
CUST0101,Lucas Poole,scott35@example.net,2024-05-22,VIP
CUST0102,Jose Murillo,staceyhodges@example.net,2025-10-26,PREMIUM
CUST0103,Jesse Lopez,daniel37@example.org,2025-12-14,PREMIUM
CUST0104,Michele Miller,jon90@example.com,2024-12-01,REGULAR
CUST0105,Julie Williams,sotoroberto@example.org,2024-09-28,VIP
CUST0106,Erica Gonzalez,jacqueline70@example.net,2024-07-11,PREMIUM
CUST0107,Jeremy Stone,whitegina@example.net,2025-02-22,VIP
CUST0108,Monica Taylor,akirby@example.com,2024-03-13,VIP
CUST0109,Erin Wilkins,larrygreen@example.org,2026-01-01,REGULAR
CUST0110,Jamie White,howekristen@example.net,2025-04-28,PREMIUM
CUST0111,Joan Harvey,kellymunoz@example.com,2024-05-18,VIP
CUST0112,William Woodward,martinlee@example.net,2024-06-01,PREMIUM
CUST0113,Robert Obrien,terryanthony@example.net,2026-03-21,VIP
CUST0114,Kelsey Castillo,tuckerronnie@example.net,2026-05-14,PREMIUM
CUST0115,Olivia Davis,richjason@example.net,2026-04-05,PREMIUM
CUST0116,Bianca Peterson,diazfrancisco@example.net,2025-09-10,VIP
CUST0117,Susan Johnson,rebeccakelly@example.com,2026-01-02,PREMIUM
CUST0118,Erica Hunt,taylorwilkins@example.org,2024-07-02,VIP
CUST0119,Luis Lopez,ijones@example.net,2025-05-30,VIP
CUST0120,Angela Farrell,troy81@example.com,2026-07-07,VIP
CUST0121,Jessica Scott,ivantaylor@example.net,2024-07-22,REGULAR
CUST0122,Isaac Smith,alison00@example.com,2026-03-19,REGULAR
CUST0123,Sarah Jackson,russell52@example.org,2026-03-17,VIP
CUST0124,Edward Huang,rhendrix@example.com,2026-01-29,REGULAR
CUST0125,Heather Ellison,felicia49@example.org,2026-04-19,PREMIUM
CUST0126,Courtney Whitney,xhayes@example.net,2026-05-05,REGULAR
CUST0127,Raymond Dennis,cmills@example.org,2024-06-23,PREMIUM
CUST0128,Mandy Johnson,ihancock@example.org,2026-04-10,REGULAR
CUST0129,Julia Carrillo,paigedowns@example.org,2025-02-27,REGULAR
CUST0130,Roberto Smith,johntrevino@example.com,2024-11-04,REGULAR
CUST0131,Brian Garcia,amy80@example.org,2024-03-28,PREMIUM
CUST0132,Cynthia Lawrence,johnsondavid@example.org,2026-06-11,REGULAR
CUST0133,Derrick Greer,ronald47@example.net,2024-03-16,PREMIUM
CUST0134,James Chapman,pachecomichael@example.com,2026-03-23,REGULAR
CUST0135,Mary Cooper,traviswaller@example.com,2025-09-14,PREMIUM
CUST0136,Stephen Franco,hicksdeborah@example.com,2025-06-27,VIP
CUST0137,Michelle Adams,adamsjill@example.com,2026-05-08,VIP
CUST0138,Chris Cook,oarnold@example.com,2024-09-16,VIP
CUST0139,Mrs. Elizabeth Macdonald,anna18@example.com,2024-03-29,REGULAR
CUST0140,Cynthia Allen,joshua90@example.org,2024-08-01,REGULAR
CUST0141,Michelle Holmes,edoyle@example.com,2025-01-02,VIP
CUST0142,Gloria Spencer,ebonilla@example.org,2024-11-23,PREMIUM
CUST0143,Wendy Martin,zsherman@example.net,2026-06-13,VIP
CUST0144,Danielle Allen,yesenia44@example.net,2024-07-31,PREMIUM
CUST0145,Leslie Jones,luiswoodward@example.com,2025-01-13,VIP
CUST0146,David Heath,brittany07@example.net,2025-01-30,PREMIUM
CUST0147,Clinton Wright,colemanbrittany@example.net,2023-11-10,PREMIUM
CUST0148,James Davidson,vreese@example.net,2025-01-31,PREMIUM
CUST0149,Noah Hayes,joshua81@example.org,2023-08-07,VIP
CUST0150,Charles Flores,jessicamay@example.com,2025-02-13,VIP
CUST0151,Joseph Allen,powerscheyenne@example.com,2025-10-05,PREMIUM
CUST0152,Clarence Cantrell,klopez@example.org,2025-03-19,REGULAR
CUST0153,Edward Barr,christopherbentley@example.com,2026-07-28,VIP
CUST0154,Manuel David,richardharrington@example.com,2024-07-27,REGULAR
CUST0155,Brittany Roberts,kevincunningham@example.com,2023-10-12,PREMIUM
CUST0156,Brian Lewis,joanneshepherd@example.com,2024-10-01,PREMIUM
CUST0157,Samantha Moody,eric65@example.org,2024-07-09,VIP
CUST0158,Jeffrey Huynh,anthony16@example.net,2025-02-21,PREMIUM
CUST0159,John Booker,zpeterson@example.com,2026-01-29,VIP
CUST0160,Benjamin Gonzalez,rebecca00@example.org,2024-11-11,PREMIUM
CUST0161,Angela Stein,dicksonbecky@example.net,2026-06-27,VIP
CUST0162,Harold Hebert,tara65@example.net,2026-07-05,VIP
CUST0163,Jennifer Hicks,williamnelson@example.com,2026-07-08,PREMIUM
CUST0164,Dawn Johnson,luke48@example.org,2024-10-15,REGULAR
CUST0165,Derek Thompson,idixon@example.net,2025-03-13,REGULAR
CUST0166,Robert Smith,bgardner@example.com,2024-06-26,REGULAR
CUST0167,Tammy Wright,monica95@example.net,2025-08-02,VIP
CUST0168,Deanna Johnson,jonesrachel@example.net,2023-12-28,VIP
CUST0169,Nicholas Snyder,briggsalan@example.com,2025-08-11,VIP
CUST0170,Andrew Smith,jason86@example.com,2025-12-22,VIP
CUST0171,Samuel Hess,carolineanderson@example.net,2026-05-15,VIP
CUST0172,Kelly Jones,ycastro@example.org,2023-11-30,PREMIUM
CUST0173,James Gomez,pwest@example.com,2024-02-29,REGULAR
CUST0174,Patricia Graves,hhernandez@example.com,2024-12-11,REGULAR
CUST0175,Brian Ruiz,suttonmaria@example.com,2024-10-24,VIP
CUST0176,Margaret Sloan,patricialang@example.net,2025-01-09,VIP
CUST0177,Kenneth Stewart,leeyolanda@example.org,2025-08-17,PREMIUM
CUST0178,Deborah Anderson,carol98@example.net,2026-07-14,REGULAR
CUST0179,Sandra Smith,timothyhansen@example.org,2024-03-29,REGULAR
CUST0180,Mrs. Mary Simmons,wendy40@example.com,2023-11-06,VIP
CUST0181,Steven Chapman,pdennis@example.com,2025-08-19,VIP
CUST0182,Jessica Collins,rsparks@example.com,2023-10-29,REGULAR
CUST0183,Jeffrey Smith,chad00@example.com,2025-02-05,VIP
CUST0184,Sheila Garcia,ulopez@example.net,2024-06-25,VIP
CUST0185,Jessica Porter,joshua80@example.net,2026-05-21,REGULAR
CUST0186,Edwin Hammond,xnichols@example.org,2025-05-16,PREMIUM
CUST0187,Rebecca Chambers,morsemichael@example.net,2026-04-14,REGULAR
CUST0188,Rebecca Clark,wdrake@example.com,2025-01-16,PREMIUM
CUST0189,Gwendolyn Martinez,john81@example.net,2024-09-12,PREMIUM
CUST0190,Joseph Carr,mjohnson@example.org,2024-07-04,REGULAR
CUST0191,James Clark,susan93@example.org,2026-03-18,REGULAR
CUST0192,Tyler White,ramseycynthia@example.org,2024-01-06,REGULAR
CUST0193,Kevin Hicks,reidedward@example.com,2025-02-25,VIP
CUST0194,David Holloway,hardincarrie@example.org,2026-06-07,REGULAR
CUST0195,Michelle Nichols,tranian@example.org,2025-07-06,PREMIUM
CUST0196,Courtney Baker,howellbenjamin@example.net,2024-01-12,VIP
CUST0197,Richard Carney,maria04@example.com,2026-07-21,PREMIUM
CUST0198,Lisa Holmes,waynecarson@example.org,2026-03-17,VIP
CUST0199,Jacqueline Cuevas,emiller@example.org,2025-10-14,PREMIUM
CUST0200,Ian Bradley,mendezbrad@example.net,2025-02-06,VIP
CUST0201,Matthew Moore,dustinhowe@example.net,2026-02-13,REGULAR
CUST0202,Manuel White,singram@example.net,2026-07-31,REGULAR
CUST0203,Cassandra Alexander,tamiwilson@example.org,2026-05-23,VIP
CUST0204,Dana Williams,maureen08@example.net,2023-12-07,REGULAR
CUST0205,Jason Smith,ebarrera@example.org,2023-09-07,REGULAR
CUST0206,Robert Sherman,stanleyallison@example.com,2025-08-16,REGULAR
CUST0207,Cassandra Caldwell,mary52@example.com,2024-07-29,REGULAR
CUST0208,Timothy Black,brucehenry@example.net,2024-01-17,REGULAR
CUST0209,Donna Barnett,ramosandrew@example.org,2024-01-11,REGULAR
CUST0210,Daniel Turner,nortonjeremy@example.net,2023-12-30,REGULAR
CUST0211,Melissa Foster,mmedina@example.org,2025-07-11,REGULAR
CUST0212,Lisa Carter,rogerstodd@example.com,2025-11-22,REGULAR
CUST0213,Dawn Hoffman,mark94@example.com,2026-03-25,PREMIUM
CUST0214,Dillon Moss,richardschristopher@example.net,2025-02-28,REGULAR
CUST0215,Leon Sawyer,jjoseph@example.com,2023-10-04,VIP
CUST0216,James Noble,meganmartin@example.net,2024-01-12,VIP
CUST0217,Shelly Higgins,robinsoncaroline@example.net,2023-11-20,PREMIUM
CUST0218,Anthony Sanchez DDS,amanda58@example.net,2024-11-24,VIP
CUST0219,Brittany Williams,andersonjames@example.com,2026-06-27,REGULAR
CUST0220,Lisa Hicks,pamela37@example.net,2024-09-10,REGULAR
CUST0221,Alan Velez,kelli72@example.net,2024-07-12,REGULAR
CUST0222,Theresa Mosley,kathleenmckinney@example.com,2026-01-05,PREMIUM
CUST0223,Eric Marks,kingdenise@example.org,2026-02-06,VIP
CUST0224,David Larsen,brittany47@example.net,2023-09-26,VIP
CUST0225,Taylor Wright,katelyn58@example.net,2024-07-09,VIP
CUST0226,Heather Smith,mblake@example.net,2026-05-31,VIP
CUST0227,Joshua Leonard,lopezstacie@example.net,2025-08-21,REGULAR
CUST0228,Gerald Farrell MD,colemankimberly@example.org,2024-05-17,REGULAR
CUST0229,Anthony Beard,krodriguez@example.com,2023-12-19,REGULAR
CUST0230,Michael Lopez,kristin50@example.com,2025-08-05,VIP
CUST0231,Denise Thomas,lonnie42@example.org,2024-09-05,REGULAR
CUST0232,Samuel Walker,mstevens@example.org,2024-12-08,REGULAR
CUST0233,Justin Proctor,lshort@example.com,2026-07-31,PREMIUM
CUST0234,Mr. Steven Hayes,faulkneranthony@example.org,2024-12-24,REGULAR
CUST0235,Cody Johnson,kevin85@example.org,2025-07-05,PREMIUM
CUST0236,Steven Jones,nashalan@example.net,2024-07-28,PREMIUM
CUST0237,Oscar Bailey,randy86@example.net,2025-08-30,VIP
CUST0238,William Perez,randall24@example.com,2023-12-18,REGULAR
CUST0239,Melanie Thornton,shawn06@example.org,2026-05-31,REGULAR
CUST0240,Deborah Perez,mcollins@example.com,2024-03-03,REGULAR
CUST0241,Doris Anderson,conneranthony@example.org,2023-10-06,REGULAR
CUST0242,Dr. Tammy Good,smithfrederick@example.org,2023-09-19,REGULAR
CUST0243,Alexander Bell,catherinelopez@example.com,2025-05-24,VIP
CUST0244,Carla Barnes,brian64@example.com,2025-07-30,REGULAR
CUST0245,Brian Weiss,danielcampbell@example.org,2024-02-05,VIP
CUST0246,Kayla Murphy,evansshannon@example.org,2023-12-30,PREMIUM
CUST0247,Carmen Jimenez,tylermalone@example.com,2024-08-29,PREMIUM
CUST0248,Tina Patrick,ronald54@example.com,2025-04-14,VIP
CUST0249,Robert Beck,yberry@example.com,2024-04-25,VIP
CUST0250,Henry Smith,millerkurt@example.org,2024-03-14,REGULAR
CUST0251,Randall Mooney,dmiddletonexample.com,2025-04-28,PREMIUM
CUST0252,Bobby Rice,zallen@example.org,2024-08-23,REGULAR
CUST0253,William Garcia,wbrown@example.org,2024-01-09,PREMIUM
CUST0254,Dr. Michael Hall,brianhurst@example.com,2025-05-27,VIP
CUST0255,Mrs. Sarah Miller DVM,susan76@example.com,2025-10-10,VIP
CUST0256,Erica Cruz,christian87@example.com,2025-01-19,PREMIUM
CUST0257,Michelle Sims,amandaboyd@example.org,2024-11-08,PREMIUM
CUST0258,Samuel Velazquez,karensullivan@example.com,2025-11-10,VIP
CUST0259,David Mccarthy,escott@example.net,2024-07-03,VIP
CUST0260,Valerie Johnson,mcguireleslie@example.net,2024-07-15,PREMIUM
CUST0261,Jonathan Lyons,keithmiranda@example.com,2024-05-25,PREMIUM
CUST0262,Ian Harrison,theresa19@example.net,2024-10-14,VIP
CUST0263,Gregory Roy,ltrujillo@example.org,2026-02-27,VIP
CUST0264,Anthony Ferguson,nicoleingram@example.net,2024-12-29,VIP
CUST0265,Christopher Price,younghunter@example.org,2026-06-16,PREMIUM
CUST0266,Samantha Williams,johnathan97@example.net,2025-11-18,PREMIUM
CUST0267,Anthony Jennings,waltersvictor@example.org,2024-01-28,VIP
CUST0268,Jeffrey Reed,radams@example.org,2025-09-28,VIP
CUST0269,Kimberly Jones,jamiecrawford@example.net,2026-04-20,PREMIUM
CUST0270,Joshua Grant,qdelgado@example.com,2025-06-15,PREMIUM
CUST0271,Shirley Li,andreaturner@example.com,2023-11-13,VIP
CUST0272,Philip Smith,blackburnsteven@example.com,2026-02-08,PREMIUM
CUST0273,Angelica Perez,mark90@example.net,2025-07-04,VIP
CUST0274,Miguel Lee,andrew48@example.com,2024-11-21,VIP
CUST0275,Kimberly Jackson,wernerloganexample.net,2025-03-13,REGULAR
CUST0276,Gabriel Cortez,michael93example.net,2024-10-27,VIP
CUST0277,James Weeks,bergsarah@example.com,2025-09-12,VIP
CUST0278,Kenneth Johnson,vgreen@example.net,2024-07-07,VIP
CUST0279,Donna Howard,jamiecollins@example.net,2026-07-07,PREMIUM
CUST0280,Anita Flores,rileyzachary@example.com,2024-05-20,REGULAR
CUST0281,Madison Baird,cassandramcknight@example.org,2024-05-29,PREMIUM
CUST0282,Chad Craig,lori29@example.com,2024-02-27,VIP
CUST0283,William Contreras,mezakristen@example.net,2024-11-20,PREMIUM
CUST0284,Jillian Espinoza,cathyhughes@example.net,2023-11-01,PREMIUM
CUST0285,Kimberly Smith,stacyfarmer@example.org,2024-08-10,VIP
CUST0286,Karen Stephens,emily42@example.net,2024-05-13,VIP
CUST0287,Amanda Dyer,cthomas@example.org,2024-04-14,REGULAR
CUST0288,Brett Warren,bryan07@example.com,2023-08-07,PREMIUM
CUST0289,Jason Vargas,gblanchard@example.org,2024-11-01,VIP
CUST0290,Kim Washington,andrew05@example.com,2025-01-23,VIP
CUST0291,Justin Munoz,jasonbarton@example.org,2026-02-20,VIP
CUST0292,Ryan Zimmerman,ynorman@example.net,2026-02-01,REGULAR
CUST0293,Kristen Stevens,tara83@example.com,2023-10-02,PREMIUM
CUST0294,Michael Le,amymartinez@example.com,2025-01-11,PREMIUM
CUST0295,Patricia Flores,barbaraharrison@example.net,2023-09-18,REGULAR
CUST0296,Jennifer Hill,rking@example.net,2025-01-06,PREMIUM
CUST0297,Elizabeth Martinez,stephanie47@example.net,2026-04-21,REGULAR
CUST0298,Brianna Kane,davisamber@example.com,2026-05-31,REGULAR
CUST0299,Mr. Jonathan Jones,ljensen@example.net,2025-04-21,REGULAR
CUST0300,Jorge Hernandez,uchandler@example.net,2026-05-25,REGULAR
CUST0301,Austin Gomez,lisabush@example.org,2024-07-17,REGULAR
CUST0302,Julia Evans,craigthomas@example.com,2026-04-30,VIP
CUST0303,Steven Brown,wwolf@example.net,2025-12-21,VIP
CUST0304,James Tyler,gjohnson@example.net,2024-04-18,PREMIUM
CUST0305,Michael Gray,brendaklein@example.org,2023-08-22,PREMIUM
CUST0306,Barbara Khan,christopher21@example.net,2026-01-06,VIP
CUST0307,Danielle Farrell,david07@example.net,2023-09-08,PREMIUM
CUST0308,James Walker,csolomon@example.com,2024-02-07,PREMIUM
CUST0309,Elizabeth Kane,wattskaren@example.org,2024-09-10,PREMIUM
CUST0310,Kelly Ferguson,edwardshannah@example.org,2024-01-24,VIP
CUST0311,Nicholas Johnson,thompsonmelissa@example.net,2025-07-26,VIP
CUST0312,Ashley Pineda,nicholasmarquez@example.org,2025-06-28,PREMIUM
CUST0313,Kelly Lane,shermanangela@example.com,2025-05-26,REGULAR
CUST0314,Harold Moreno,cheryl86@example.net,2025-01-19,VIP
CUST0315,Kelly Smith,zchen@example.net,2024-01-08,REGULAR
CUST0316,Cassie Ayala,clifford59@example.net,2026-07-19,VIP
CUST0317,Kelly Martinez,jennifer55@example.org,2024-03-08,REGULAR
CUST0318,Donald Vance,victoria73@example.com,2023-08-30,PREMIUM
CUST0319,Jason Barker,samuelmccall@example.net,2024-09-04,PREMIUM
CUST0320,Joseph Mitchell,goodgabrielle@example.com,2025-12-12,PREMIUM
CUST0321,Bryce Clarke,melissabaker@example.net,2026-03-26,VIP
CUST0322,John Johnson,ylin@example.net,2024-01-27,VIP
CUST0323,Thomas Abbott,arangel@example.com,2024-07-20,REGULAR
CUST0324,Bryce Chandler,melissa25@example.org,2024-09-14,PREMIUM
CUST0325,John Taylor,davisdylan@example.com,2023-10-29,VIP
CUST0326,David Wright,carlsonkelsey@example.net,2026-01-21,VIP
CUST0327,Karen Sullivan,crystal21@example.com,2024-04-07,REGULAR
CUST0328,Timothy Murillo,mariawest@example.org,2024-10-05,REGULAR
CUST0329,Patricia Coleman,schneidersylvia@example.com,2023-11-23,REGULAR
CUST0330,Jennifer Grimes,jperkins@example.com,2025-09-04,REGULAR
CUST0331,Cesar Morgan,susan53@example.com,2026-02-18,REGULAR
CUST0332,Kyle Daniel,james52@example.com,2025-07-10,PREMIUM
CUST0333,Sarah Rasmussen,jtaylor@example.org,2025-07-25,VIP
CUST0334,Ray Bauer,johnsonvictoria@example.com,2026-05-08,REGULAR
CUST0335,Laura Moreno,whitemichelle@example.com,2024-06-11,VIP
CUST0336,Kathleen Key,jenna64@example.net,2024-05-26,VIP
CUST0337,Steven Brown,richardhunter@example.com,2025-12-27,REGULAR
CUST0338,Dr. Jonathan Williams DDS,xsanders@example.org,2026-06-25,PREMIUM
CUST0339,Kenneth Lindsey,cindyperkins@example.org,2025-01-13,REGULAR
CUST0340,Brian Boyd,vhall@example.org,2023-11-29,REGULAR
CUST0341,April Ramirez,rfox@example.org,2024-01-11,VIP
CUST0342,Danny Gonzalez,dennissmith@example.net,2025-01-11,REGULAR
CUST0343,Daniel Harrison,shepardterry@example.net,2024-06-28,REGULAR
CUST0344,Jennifer Cross,reginaldtodd@example.net,2024-02-19,VIP
CUST0345,Brian Barrett,oharmon@example.org,2025-03-25,REGULAR
CUST0346,Valerie Gomez,gmoore@example.org,2024-06-30,VIP
CUST0347,Madison Wood,austin99@example.net,2023-12-05,REGULAR
CUST0348,Craig Shah,robertapayne@example.com,2025-05-17,PREMIUM
CUST0349,Charles Cruz,rschroeder@example.net,2026-03-20,PREMIUM
CUST0350,Wayne Jarvis,brianbrowning@example.com,2024-02-29,PREMIUM
CUST0351,Elizabeth Collier,julieashley@example.com,2024-08-31,PREMIUM
CUST0352,Terry Thomas,melissamurray@example.org,2026-01-17,VIP
CUST0353,Martin Hoffman,silvageorge@example.com,2025-06-11,REGULAR
CUST0354,Joel Martin,gregoryschmidt@example.com,2025-01-24,VIP
CUST0355,Mark Carson,whitedanielle@example.net,2023-09-30,PREMIUM
CUST0356,Brian Burgess,garciahenry@example.org,2026-07-05,PREMIUM
CUST0357,Jessica Johnson,jrodriguez@example.net,2025-11-09,PREMIUM
CUST0358,Justin Jenkins,stacy30@example.net,2025-01-13,REGULAR
CUST0359,Shane Branch,simpsonjuan@example.com,2024-07-14,REGULAR
CUST0360,Lindsey Beck,cummingsdenise@example.org,2025-03-25,VIP
CUST0361,Jerry Jefferson,brownlawrence@example.net,2023-11-15,PREMIUM
CUST0362,Sharon Fischer,samantharitter@example.org,2024-04-11,VIP
CUST0363,William Chang,reedjennifer@example.com,2023-09-20,VIP
CUST0364,Terry Swanson,libarra@example.net,2025-06-11,REGULAR
CUST0365,Kevin Guzman,dtorres@example.com,2023-12-29,REGULAR
CUST0366,Stephanie Wilson,rpollard@example.net,2025-08-10,REGULAR
CUST0367,Robert Santos,jesus68@example.net,2024-12-25,PREMIUM
CUST0368,Eric Alvarez,juanthomas@example.org,2024-07-05,REGULAR
CUST0369,Gabriel Robertson,james45@example.com,2025-03-05,PREMIUM
CUST0370,Abigail Hamilton,dwashington@example.org,2025-02-07,VIP
CUST0371,Amy Wang DDS,sherry09@example.com,2025-01-05,REGULAR
CUST0372,Jennifer Griffin,eallen@example.net,2024-06-02,VIP
CUST0373,John Snyder,andrewrussell@example.com,2023-12-19,PREMIUM
CUST0374,Christopher Smith,kkelly@example.org,2026-08-06,VIP
CUST0375,Erin Barrett,blaketroy@example.org,2024-12-23,VIP
CUST0376,Derek Bell,marcus74@example.net,2024-09-15,VIP
CUST0377,Mrs. Natalie Clark MD,amy78@example.net,2024-12-19,VIP
CUST0378,Gregory Campbell,michael53@example.com,2024-09-21,PREMIUM
CUST0379,Lisa Ortiz,geoffreymartinez@example.com,2026-07-10,PREMIUM
CUST0380,James Solomon,justin64@example.net,2025-05-14,VIP
